STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,May-13-2023,19,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,May-20-2023,20,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,May-27-2023,21,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jun-03-2023,22,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jun-10-2023,23,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Mar-25-2023,12,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Apr-01-2023,13,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Apr-08-2023,14,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Apr-15-2023,15,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Apr-22-2023,16,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Apr-29-2023,17,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Feb-11-2023,6,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Feb-18-2023,7,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Feb-25-2023,8,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Mar-04-2023,9,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Mar-11-2023,10,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Mar-18-2023,11,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 9,High,Dec-31-2022,52,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 6,Moderate,Jan-07-2023,1,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Jan-14-2023,2,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Jan-21-2023,3,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 5,Low,Jan-28-2023,4,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Feb-04-2023,5,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 11,Very High,Nov-19-2022,46,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 12,Very High,Nov-26-2022,47,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 11,Very High,Dec-03-2022,48,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 10,High,Dec-10-2022,49,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 9,High,Dec-17-2022,50,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 8,High,Dec-24-2022,51,2022-23
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Oct-07-2023,40,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Oct-14-2023,41,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Oct-21-2023,42,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 5,Low,Oct-28-2023,43,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 6,Moderate,Nov-04-2023,44,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 10,High,Nov-11-2023,45,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Sep-07-2024,36,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Sep-14-2024,37,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Sep-21-2024,38,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Sep-28-2024,39,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jul-27-2024,30,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Aug-03-2024,31,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Aug-10-2024,32,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Aug-17-2024,33,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Aug-24-2024,34,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Aug-31-2024,35,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jun-15-2024,24,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jun-22-2024,25,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jun-29-2024,26,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jul-06-2024,27,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jul-13-2024,28,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jul-20-2024,29,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,May-04-2024,18,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,May-11-2024,19,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,May-18-2024,20,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,May-25-2024,21,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jun-01-2024,22,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Jun-08-2024,23,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Mar-23-2024,12,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Mar-30-2024,13,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Apr-06-2024,14,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Apr-13-2024,15,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Apr-20-2024,16,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Apr-27-2024,17,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 10,High,Feb-10-2024,6,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 8,High,Feb-17-2024,7,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 7,Moderate,Feb-24-2024,8,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 7,Moderate,Mar-02-2024,9,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 5,Low,Mar-09-2024,10,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Mar-16-2024,11,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 13,Very High,Dec-30-2023,52,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 12,Very High,Jan-06-2024,1,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 11,Very High,Jan-13-2024,2,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 10,High,Jan-20-2024,3,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 10,High,Jan-27-2024,4,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 9,High,Feb-03-2024,5,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 10,High,Nov-18-2023,46,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 10,High,Nov-25-2023,47,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 10,High,Dec-02-2023,48,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 11,Very High,Dec-09-2023,49,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 12,Very High,Dec-16-2023,50,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 13,Very High,Dec-23-2023,51,2023-24
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Oct-12-2024,41,2024-25
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Oct-19-2024,42,2024-25
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Oct-26-2024,43,2024-25
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Nov-02-2024,44,2024-25
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Nov-09-2024,45,2024-25
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 1,Minimal,Oct-05-2024,40,2024-25
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Oct-06-2018,40,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Oct-13-2018,41,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Oct-20-2018,42,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 3,Minimal,Oct-27-2018,43,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 4,Low,Nov-03-2018,44,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 5,Low,Nov-10-2018,45,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Level 2,Minimal,Sep-07-2019,36,2018-19
