,California_flu,New York_flu,California_vitamin,New York_vitamin
2018-10-06,1.0,1.0,0.5,0.0
2018-10-13,1.0,1.0,0.0,0.0
2018-10-20,1.0,1.0,0.25,0.0
2018-10-27,1.0,1.0,0.0,0.0
2018-11-03,1.0,1.0,0.0,0.0
2018-11-10,1.0,1.0,0.0,0.0
2018-11-17,1.25,1.0,0.0,0.0
2018-11-24,1.5,1.25,0.0,0.0
2018-12-01,2.0,1.5,0.0,0.0
2018-12-08,2.5,1.75,0.0,0.0
2018-12-15,3.0,2.5,0.0,0.0
2018-12-22,3.75,3.25,0.0,0.25
2018-12-29,4.5,4.5,0.0,0.0
2019-01-05,5.25,5.5,0.25,0.0
2019-01-12,5.5,5.75,0.25,0.0
2019-01-19,5.25,6.25,0.0,0.0
2019-01-26,4.75,6.5,0.25,0.0
2019-02-02,4.5,7.0,0.0,0.0
2019-02-09,4.5,8.0,0.0,0.0
2019-02-16,5.25,8.75,0.0,0.0
2019-02-23,5.75,9.25,0.0,0.25
2019-03-02,6.0,9.0,0.0,0.0
2019-03-09,6.25,8.5,0.0,0.0
2019-03-16,6.0,7.75,0.25,0.0
2019-03-23,6.0,7.0,0.0,0.0
2019-03-30,5.75,6.75,0.0,0.0
2019-04-06,5.5,6.5,0.0,0.25
2019-04-13,4.75,5.75,0.0,0.0
2019-04-20,4.0,4.75,0.0,0.0
2019-04-27,3.25,3.75,0.0,0.0
2019-05-04,2.25,2.5,0.25,0.25
2019-05-11,2.0,1.75,0.25,0.0
2019-05-18,1.5,1.25,0.25,0.5
2019-05-25,1.25,1.0,0.0,0.0
2019-06-01,1.5,1.0,0.0,0.0
2019-06-08,1.25,1.0,0.25,0.0
2019-06-15,1.25,1.0,0.0,0.0
2019-06-22,1.25,1.0,0.0,0.25
2019-06-29,1.0,1.0,0.0,0.0
2019-07-06,1.0,1.0,0.0,0.0
2019-07-13,1.0,1.0,0.0,0.0
2019-07-20,1.0,1.0,0.25,0.0
2019-07-27,1.0,1.0,0.25,0.0
2019-08-03,1.0,1.0,0.0,0.0
2019-08-10,1.0,1.0,0.0,0.25
2019-08-17,1.0,1.0,0.0,0.0
2019-08-24,1.0,1.0,0.0,0.0
2019-08-31,1.0,1.0,0.25,0.0
2019-09-07,1.0,1.0,0.0,0.25
2019-09-14,1.0,1.0,0.0,0.0
2019-09-21,1.0,1.0,0.0,0.0
2019-09-28,1.0,1.0,0.0,0.0
2019-10-05,1.0,1.0,0.0,0.25
2019-10-12,1.0,1.0,0.0,0.0
2019-10-19,1.0,1.0,0.5,0.0
2019-10-26,1.0,1.0,0.25,0.0
2019-11-02,1.0,1.25,0.0,0.25
2019-11-09,1.25,1.5,0.0,0.25
2019-11-16,1.75,1.75,0.0,0.0
2019-11-23,2.25,2.0,0.0,0.0
2019-11-30,3.0,2.5,0.0,0.25
2019-12-07,3.5,2.75,0.25,0.75
2019-12-14,3.75,3.5,0.0,0.0
2019-12-21,4.25,5.0,0.25,0.25
2019-12-28,5.75,6.5,0.0,0.0
2020-01-04,7.25,8.25,0.0,0.25
2020-01-11,8.25,9.25,0.0,0.0
2020-01-18,9.25,9.75,0.0,0.0
2020-01-25,9.25,10.0,0.0,0.0
2020-02-01,9.25,10.5,0.5,0.0
2020-02-08,9.75,11.25,0.25,0.25
2020-02-15,10.0,11.5,0.0,0.0
2020-02-22,9.75,11.25,0.0,0.5
2020-02-29,9.25,10.5,0.25,0.25
2020-03-07,8.75,9.75,0.0,0.25
2020-03-14,8.5,9.75,0.25,0.0
2020-03-21,8.75,10.5,0.0,0.0
2020-03-28,8.75,11.5,0.75,0.0
2020-04-04,7.75,12.25,0.0,0.0
2020-04-11,6.25,12.0,0.0,0.25
2020-04-18,4.0,10.75,0.0,0.0
2020-04-25,2.25,8.5,0.25,0.5
2020-05-02,1.5,6.0,0.0,0.0
2020-05-09,1.0,3.75,0.0,0.25
2020-05-16,1.0,2.0,0.25,0.25
2020-05-23,1.0,1.25,0.5,0.25
2020-05-30,1.0,1.0,0.25,0.0
2020-06-06,1.0,1.0,0.0,0.0
2020-06-13,1.0,1.0,0.0,0.0
2020-06-20,1.0,1.0,0.0,0.0
2020-06-27,1.0,1.0,0.25,0.0
2020-07-04,1.0,1.0,0.0,0.25
2020-07-11,1.0,1.0,0.25,0.0
2020-07-18,1.0,1.0,0.25,0.0
2020-07-25,1.0,1.0,0.0,0.0
2020-08-01,1.0,1.0,0.0,0.0
2020-08-08,1.0,1.0,0.25,0.25
2020-08-15,1.0,1.0,0.0,0.0
2020-08-22,1.0,1.0,0.25,0.0
2020-08-29,1.0,1.0,0.0,0.0
2020-09-05,1.0,1.0,0.0,0.0
2020-09-12,1.0,1.0,0.0,0.0
2020-09-19,1.0,1.0,0.25,0.0
2020-09-26,1.0,1.0,0.0,0.0
2020-10-03,1.0,1.0,0.0,0.0
2020-10-10,1.0,1.0,0.0,0.25
2020-10-17,1.0,1.0,0.0,0.25
2020-10-24,1.0,1.0,0.25,0.0
2020-10-31,1.0,1.0,0.0,0.0
2020-11-07,1.0,1.0,0.25,0.25
2020-11-14,1.0,1.0,0.25,0.0
2020-11-21,1.0,1.0,0.0,0.0
2020-11-28,1.0,1.0,0.5,0.0
2020-12-05,1.0,1.25,0.0,0.0
2020-12-12,1.0,1.5,0.0,0.0
2020-12-19,1.0,1.75,0.25,0.0
2020-12-26,1.5,2.0,0.0,0.0
2021-01-02,2.0,2.25,0.0,0.0
2021-01-09,2.25,2.5,0.25,0.0
2021-01-16,2.25,2.25,0.0,0.25
