Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair
2020-03-25,6.12,2.0,PA,21st Century C 1000 mg Prolonged Release Tablets 110 Count,55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No
2020-03-25,6.24,1.0,PA,"Puritan's Pride Vitamin D3 10000 IU Bolsters Health Immune System Support and Healthy Bones & Teeth Softgels, Yellow, 100 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No
2020-11-18,5.49,1.0,PA,"Puritan's Pride Vitamin D3 10000 IU Bolsters Health Immune System Support and Healthy Bones & Teeth Softgels, Yellow, 100 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No
2021-01-04,5.68,1.0,PA,"NOW Supplements, Methyl B-12 (Methylcobalamin) 1,000 mcg, Nervous System Health*, 100 Lozenges",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No
2021-12-14,5.72,1.0,PA,"Puritan's Pride Vitamin D3 10000 IU Bolsters Health Immune System Support and Healthy Bones & Teeth Softgels, Yellow, 100 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No
2022-01-20,19.97,1.0,PA,"Liposomal Vitamin C - The Only 1500mg Per Capsule (NOT 2 Capsules Per Serving) DNA Verified & Potent Vit C – Swallow or Pour Powder into a Drink, All Natural Vegan Friendly, Non-GMO, Gluten & Soy Free",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No
2022-02-02,8.24,1.0,PA,"Natrol Vitamin B12 Fast Dissolve Tablets, Promotes Energy, Supports a Healthy Nervous System, Maximum Strength, Strawberry Flavor, 5,000mcg, 100 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No
2022-06-25,21.99,1.0,PA,"Quercetin 1000mg Per Serving - 120 Veggie Capsules, Vitamin Supplement to Support Cardiovascular Health, Immune Response and Anti-inflammatory, 60 Day Supply, (Vegan and Non-GMO)",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No
2021-01-04,9.97,1.0,SD,Centrum Adults 50+ Fresh & Fruity Chewables Multivitamin / Multimineral Supplement (60 ct) Mixed Berry,65 and older,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),1 (just me!),2,More than 10 times per month,No,No,No,Yes,No
2022-06-30,15.83,1.0,NE,"Nature Made Vitamin E 180 mg (400 IU) dl-Alpha, Dietary Supplement for Antioxidant Support, 300 Softgels, 300 Day Supply",65 and older,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),1 (just me!),2,More than 10 times per month,No,No,No,Yes,No
2020-05-11,17.02,1.0,LA,"Airborne 1000mg Vitamin C with Zinc Effervescent Tablets, Immune Support Supplement with Powerful Antioxidants Vitamins A C & E - 30 Fizzy Drink Tablets, Zesty Orange Flavor",25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Female,LGBTQ+,2,4+,5 - 10 times per month,No,No,No,No,No
2018-05-02,8.59,1.0,TX,"Emergen-C Hydration+ Sports Drink Mix With Vitamin C (18 Count, Raspberry Flavor), Electrolyte Replenishment, 0.33 Ounce Powder Packets",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
