Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair,Vitamins Found,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,B1,B2,B3,B6,B12,B5,B7,B9,Multivitamin,Vitamins List,Vitamin Count
2018-05-02,8.59,1.0,TX,"Emergen-C Hydration+ Sports Drink Mix With Vitamin C (18 Count, Raspberry Flavor), Electrolyte Replenishment, 0.33 Ounce Powder Packets",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2018-06-26,12.95,1.0,TX,"Ener-C Raspberry Electrolyte Multivitamin Drink Mix, 1000mg Vitamin C, Non-GMO, Vegan, Real Fruit Juice Powders, Natural Immunity Support, Gluten Free, 1-Pack of 30",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Vitamin C, Vitamin D, Multivitamin",3
2018-06-26,9.99,1.0,TX,"Emergen-C Hydration+ Sports Drink Mix With Vitamin C (18 Count, Raspberry Flavor), Electrolyte Replenishment, 0.33 Ounce Powder Packets",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2018-08-22,13.85,1.0,TX,"Ener-C Raspberry Electrolyte Multivitamin Drink Mix, 1000mg Vitamin C, Non-GMO, Vegan, Real Fruit Juice Powders, Natural Immunity Support, Gluten Free, 1-Pack of 30",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Vitamin C, Vitamin D, Multivitamin",3
2018-08-22,7.98,1.0,TX,"Emergen-C Hydration+ Sports Drink Mix With Vitamin C (18 Count, Raspberry Flavor), Electrolyte Replenishment, 0.33 Ounce Powder Packets",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2018-11-12,9.97,2.0,TX,"Centrum Chewable Multivitamin for Adults, 100 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Multivitamin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Multivitamin,1
2019-03-21,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Vitamin D,1
2019-03-21,21.51,1.0,TX,"Bariatric Advantage - Vitamin D3 Chewable Gels, 10,000IU - Lemon, 30 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Vitamin D,1
2019-04-01,9.97,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, B12",0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Vitamin C, B1, B12",3
2019-04-30,16.99,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink Mix, Raspberry Flavor - 60 Count/2 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, B12",0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Vitamin C, B1, B12",3
2019-05-11,9.47,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, B12",0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Vitamin C, B1, B12",3
2019-05-28,9.97,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, B12",0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Vitamin C, B1, B12",3
2019-06-27,9.99,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, B12",0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Vitamin C, B1, B12",3
2019-07-28,9.99,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, B12",0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Vitamin C, B1, B12",3
2019-09-21,20.95,1.0,TX,Seeking Health Optimal Multivitamin – Men’s Vitamins – Multivitamin for Women – Daily Chewable Multivitamin – Supports Healthy Energy Production* – 60 Chewable Tablets,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Multivitamin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Multivitamin,1
