Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair,Vitamins Found,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,B1,B2,B3,B6,B12,B5,B7,B9,Multivitamin
2020-03-25,6.24,1.0,PA,"Puritan's Pride Vitamin D3 10000 IU Bolsters Health Immune System Support and Healthy Bones & Teeth Softgels, Yellow, 100 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-11-18,5.49,1.0,PA,"Puritan's Pride Vitamin D3 10000 IU Bolsters Health Immune System Support and Healthy Bones & Teeth Softgels, Yellow, 100 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-12-14,5.72,1.0,PA,"Puritan's Pride Vitamin D3 10000 IU Bolsters Health Immune System Support and Healthy Bones & Teeth Softgels, Yellow, 100 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-06-26,12.95,1.0,TX,"Ener-C Raspberry Electrolyte Multivitamin Drink Mix, 1000mg Vitamin C, Non-GMO, Vegan, Real Fruit Juice Powders, Natural Immunity Support, Gluten Free, 1-Pack of 30",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1
2018-08-22,13.85,1.0,TX,"Ener-C Raspberry Electrolyte Multivitamin Drink Mix, 1000mg Vitamin C, Non-GMO, Vegan, Real Fruit Juice Powders, Natural Immunity Support, Gluten Free, 1-Pack of 30",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1
2019-03-21,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-03-21,21.51,1.0,TX,"Bariatric Advantage - Vitamin D3 Chewable Gels, 10,000IU - Lemon, 30 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-12-31,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,18.9,1.0,TX,"Ener-C Vitamin Drink Mix, Lemon Lime, 1000 Mg, 30 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,16.97,1.0,TX,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-04-14,15.86,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1
2021-04-25,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-07-28,16.7,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1
2021-08-03,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-10-29,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,16.7,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1
2022-01-29,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-03-21,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-03-28,12.58,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1
2022-04-28,15.96,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-07-29,15.96,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-07-29,16.7,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, Vitamin D, Multivitamin",0,1,1,0,0,0,0,0,0,0,0,0,0,1
2022-10-28,15.96,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-10-03,15.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,15.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,16.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,17.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,16.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
